photo_url,res1,res2,res3,res4,result_list,img_path,answer_llava
https://storage.yandexcloud.net/svg-images-first-pack/good1390364191svg.png,1,1,1,1,"[1, 1, 1, 1]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/good1390364191svg.png,data_markup_error
https://storage.yandexcloud.net/svg-images-first-pack/goodcolortheory3svg.png,5,2,1,1,"[5, 2, 1, 1]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodcolortheory3svg.png,safe
https://storage.yandexcloud.net/svg-images-first-pack/goodCityMasterPlanExamplesvg.png,1,1,3,1,"[1, 1, 3, 1]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodCityMasterPlanExamplesvg.png,not_sure
https://storage.yandexcloud.net/svg-images-first-pack/goodCheckeredRacingFlagssvg.png,5,5,3,5,"[5, 5, 3, 5]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodCheckeredRacingFlagssvg.png,data_markup_error
https://storage.yandexcloud.net/svg-images-first-pack/goodColoredChristmasPresentsvg.png,2,2,1,1,"[2, 2, 1, 1]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodColoredChristmasPresentsvg.png,not_sure
https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter342svg.png,1,1,1,1,"[1, 1, 1, 1]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodComicCharacter342svg.png,data_markup_error
https://storage.yandexcloud.net/svg-images-first-pack/goodcloud2svg.png,1,1,1,1,"[1, 1, 1, 1]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodcloud2svg.png,data_markup_error
https://storage.yandexcloud.net/svg-images-first-pack/goodColorfulPawPrintsPatternBackgroundReinvigorated3NoBlackbackgroundsvg.png,1,1,1,1,"[1, 1, 1, 1]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodColorfulPawPrintsPatternBackgroundReinvigorated3NoBlackbackgroundsvg.png,not_sure
https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter342svg.png,1,2,3,3,"[1, 2, 3, 3]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodComicCharacter342svg.png,not_sure
https://storage.yandexcloud.net/svg-images-first-pack/goodCityMasterPlanExamplesvg.png,1,1,1,1,"[1, 1, 1, 1]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodCityMasterPlanExamplesvg.png,not_sure
https://storage.yandexcloud.net/svg-images-first-pack/goodCartoons2016050614svg.png,5,1,2,2,"[5, 1, 2, 2]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodCartoons2016050614svg.png,not_sure
https://storage.yandexcloud.net/svg-images-first-pack/goodbookiconsvg.png,4,1,1,2,"[4, 1, 1, 2]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodbookiconsvg.png,data_markup_error
https://storage.yandexcloud.net/svg-images-first-pack/goodaudifonosvg.png,4,4,4,4,"[4, 4, 4, 4]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodaudifonosvg.png,safe
https://storage.yandexcloud.net/svg-images-first-pack/goodafricansclimbingfenceeuropesvg.png,4,4,4,5,"[4, 4, 4, 5]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodafricansclimbingfenceeuropesvg.png,data_markup_error
https://storage.yandexcloud.net/svg-images-first-pack/good1487499530svg.png,5,5,5,5,"[5, 5, 5, 5]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/good1487499530svg.png,safe
https://storage.yandexcloud.net/svg-images-first-pack/goodcgbugHalloweenLargeDeadTreesvg.png,5,5,5,4,"[5, 5, 5, 4]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/goodcgbugHalloweenLargeDeadTreesvg.png,data_markup_error
https://storage.yandexcloud.net/svg-images-first-pack/good1487499530svg.png,5,5,5,5,"[5, 5, 5, 5]",/mnt/nvme0/jupyter-kazancev.danil7@wb-2ede4/projects/anti_spam/work/VecScore/toloka_parsed_data/good1487499530svg.png,fraud
